Date,Inflows_m/s^3
7/1/1952,97.495
7/2/1952,101.771
7/3/1952,90.019
7/4/1952,81.751
7/5/1952,66.884
7/6/1952,108.991
7/7/1952,114.088
7/8/1952,231.971
7/9/1952,435.484
7/10/1952,300.809
7/11/1952,183.125
7/12/1952,120.035
7/13/1952,106.613
7/14/1952,88.603
7/15/1952,74.332
7/16/1952,71.188
7/17/1952,90.614
7/18/1952,108.85
7/19/1952,122.867
7/20/1952,101.714
7/21/1952,80.59
7/22/1952,75.323
7/23/1952,70.027
7/24/1952,76.739
7/25/1952,72.859
7/26/1952,67.592
7/27/1952,64.421
7/28/1952,65.072
7/29/1952,87.98
7/30/1952,73.992
7/31/1952,97.098
8/1/1952,163.501
8/2/1952,155.148
8/3/1952,168.202
8/4/1952,93.049
8/5/1952,147.644
8/6/1952,105.169
8/7/1952,166.559
8/8/1952,224.524
8/9/1952,210.366
8/10/1952,463.065
8/11/1952,568.403
8/12/1952,322.84
8/13/1952,179.925
8/14/1952,127.709
8/15/1952,119.355
8/16/1952,119.355
8/17/1952,169.476
8/18/1952,161.123
8/19/1952,161.123
8/20/1952,161.123
8/21/1952,237.493
8/22/1952,201.814
8/23/1952,153.987
8/24/1952,144.416
8/25/1952,125.274
8/26/1952,79.967
8/27/1952,114.032
8/28/1952,80.505
8/29/1952,86.253
8/30/1952,88.15
8/31/1952,313.722
9/1/1952,910.13
9/2/1952,1108.914
9/3/1952,1490.285
9/4/1952,766.309
9/5/1952,250.292
9/6/1952,165.965
9/7/1952,144.274
9/8/1952,126.519
9/9/1952,112.814
9/10/1952,107.83
9/11/1952,117.741
9/12/1952,116.835
9/13/1952,103.866
9/14/1952,101.487
9/15/1952,86.31
9/16/1952,99.817
9/17/1952,89
9/18/1952,89
9/19/1952,94.408
9/20/1952,91.718
9/21/1952,95.484
9/22/1952,115.306
9/23/1952,120.205
9/24/1952,116.354
9/25/1952,100.185
9/26/1952,94.238
9/27/1952,88.32
9/28/1952,82.912
9/29/1952,76.597
9/30/1952,75.662
10/1/1952,72.831
10/2/1952,72.831
10/3/1952,72.831
10/4/1952,68.838
10/5/1952,63.316
10/6/1952,64.251
10/7/1952,66.318
10/8/1952,66.318
10/9/1952,96.928
10/10/1952,107.491
10/11/1952,101.402
10/12/1952,106.811
10/13/1952,96.022
10/14/1952,89.679
10/15/1952,83.62
10/16/1952,75.521
10/17/1952,80.929
10/18/1952,78.211
10/19/1952,64.732
10/20/1952,70.112
10/21/1952,67.422
10/22/1952,70.282
10/23/1952,69.603
10/24/1952,76.427
10/25/1952,72.746
10/26/1952,72.746
10/27/1952,81.071
10/28/1952,75.521
10/29/1952,64.449
10/30/1952,67.224
10/31/1952,70.849
11/1/1952,71.103
11/2/1952,73.963
11/3/1952,79.655
11/4/1952,91.01
11/5/1952,61.108
11/6/1952,76.937
11/7/1952,78.636
11/8/1952,78.636
11/9/1952,49.243
11/10/1952,78.636
11/11/1952,108.057
11/12/1952,80.363
11/13/1952,80.363
11/14/1952,47.261
11/15/1952,196.745
11/16/1952,107.944
11/17/1952,144.897
11/18/1952,133.032
11/19/1952,99.08
11/20/1952,1032.232
11/21/1952,923.043
11/22/1952,761.552
11/23/1952,459.695
11/24/1952,313.75
11/25/1952,179.727
11/26/1952,162.227
11/27/1952,112.984
11/28/1952,150.391
11/29/1952,79.825
11/30/1952,122.697
12/1/1952,101.601
12/2/1952,134.59
12/3/1952,122.867
12/4/1952,123.886
12/5/1952,113.579
12/6/1952,158.857
12/7/1952,133.429
12/8/1952,134.901
12/9/1952,124.849
12/10/1952,146.086
12/11/1952,400.003
12/12/1952,544.051
12/13/1952,431.52
12/14/1952,230.131
12/15/1952,194.565
12/16/1952,163.614
12/17/1952,137.931
12/18/1952,130.937
12/19/1952,117.26
12/20/1952,135.043
12/21/1952,137.167
